TransactionID,itemDescription
1000_2014-06-24,"pastry,salty snack,whole milk"
1000_2015-03-15,"sausage,semi-finished bread,whole milk,yogurt"
1000_2015-05-27,"pickled vegetables,soda"
1000_2015-07-24,"canned beer,misc. beverages"
1000_2015-11-25,"hygiene articles,sausage"
1001_2014-02-07,"rolls/buns,sausage,whole milk"
1001_2014-12-12,"soda,whole milk"
1001_2015-01-20,"frankfurter,soda,whipped/sour cream"
1001_2015-04-14,"beef,white bread"
1001_2015-05-02,"curd,frankfurter"
1002_2014-02-09,"frozen vegetables,other vegetables"
1002_2014-04-26,"butter,whole milk"
1002_2015-04-26,"sugar,tropical fruit"
1002_2015-08-30,"butter milk,specialty chocolate"
1003_2014-01-19,"dental care,frozen meals"
1003_2014-02-27,rolls/buns
1003_2014-10-15,"detergent,root vegetables"
1003_2015-02-10,"rolls/buns,sausage"
1004_2014-02-04,"pip fruit,tropical fruit,whole milk"
1004_2014-05-01,"cling film/bags,dish cleaner"
1004_2014-06-10,"chocolate,red/blush wine,rolls/buns"
1004_2014-07-01,"canned beer,frozen fish"
1004_2014-07-10,"other vegetables,shopping bags"
1004_2014-08-19,"pastry,root vegetables,whole milk"
1004_2014-10-13,"chocolate,packaged fruit/vegetables,rolls/buns,whole milk"
1004_2015-12-02,"hygiene articles,other vegetables"
1005_2014-01-09,rolls/buns
1005_2014-01-23,"margarine,whipped/sour cream"
1006_2014-04-09,"rice,whole milk"
1006_2014-07-05,"bottled water,rolls/buns,softener"
1006_2014-07-11,"shopping bags,skin care"
1006_2015-06-14,"bottled beer,chicken,chocolate,flour,frankfurter,rolls/buns,whole milk"
1008_2015-07-21,"domestic eggs,photo/film,root vegetables,soda,tropical fruit,white wine,yogurt"
1008_2015-10-03,"dessert,hamburger meat,liquor (appetizer),liver loaf"
1009_2014-01-24,"canned fish,cocoa drinks"
1009_2015-05-14,"tropical fruit,yogurt"
1009_2015-09-23,"ketchup,pastry"
1009_2015-10-05,"herbs,newspapers,yogurt"
1010_2014-03-05,"UHT-milk,coffee,pip fruit"
1010_2014-04-10,"kitchen towels,sliced cheese"
1010_2014-08-23,"bottled water,specialty bar"
1010_2014-08-27,"bottled water,frankfurter"
1010_2015-07-31,"candles,pip fruit,rolls/buns"
1011_2014-02-15,"bottled water,candy,citrus fruit,rolls/buns"
1011_2014-06-02,"curd cheese,pastry"
1011_2015-12-09,"candles,frankfurter,grapes,herbs,other vegetables,whole milk,yogurt"
1012_2014-06-22,"brown bread,frozen vegetables"
1012_2015-03-27,"processed cheese,whole milk"
1012_2015-10-03,"frankfurter,yogurt"
1012_2015-11-19,"onions,rolls/buns,root vegetables,shopping bags,tropical fruit"
1013_2014-01-17,"bottled water,hard cheese,napkins"
1013_2014-02-20,"candy,whole milk"
1013_2014-03-26,"frozen vegetables,tropical fruit"
1013_2014-03-28,"mustard,whipped/sour cream"
1013_2014-07-15,"mustard,other vegetables"
1013_2014-11-12,"mayonnaise,root vegetables"
1013_2015-07-02,"frozen meals,whole milk"
1013_2015-10-02,"domestic eggs,meat,roll products ,white bread"
1014_2014-09-04,"butter milk,hamburger meat"
1014_2014-10-06,"rolls/buns,whole milk"
1014_2015-01-04,"canned beer,cookware"
1014_2015-10-03,"bottled beer,sausage,whole milk,yogurt"
1015_2014-06-28,"chocolate,fruit/vegetable juice,rolls/buns"
1015_2015-03-22,"beef,salty snack"
1015_2015-05-04,"citrus fruit,whole milk"
1016_2015-04-23,"pip fruit,soft cheese"
1016_2015-07-19,"chicken,red/blush wine"
1016_2015-09-30,"frankfurter,mayonnaise,oil,pip fruit,rolls/buns"
1016_2015-10-05,"UHT-milk,bottled beer"
1017_2014-02-21,"other vegetables,root vegetables"
1017_2014-06-19,"beef,yogurt"
1017_2014-10-14,"brown bread,pet care"
1017_2015-05-16,"other vegetables,rolls/buns"
1017_2015-09-30,"dessert,shopping bags,soda"
1018_2014-04-15,"beverages,domestic eggs"
1018_2014-05-27,"berries,cake bar"
1018_2014-10-01,"curd,long life bakery product"
1018_2015-05-23,"butter milk,root vegetables"
1019_2014-12-10,"hamburger meat,red/blush wine"
1020_2014-07-19,"butter,frozen meals,newspapers,yogurt"
1020_2014-08-12,"canned beer,shopping bags"
1020_2015-10-13,"canned beer,frozen fish,rolls/buns,spices"
1021_2014-05-30,"butter,sliced cheese"
1021_2015-10-22,"curd,liquor,tropical fruit,yogurt"
1021_2015-11-07,"baking powder,rolls/buns"
1022_2014-02-22,"beef,napkins"
1022_2014-03-25,"whipped/sour cream,whole milk"
1022_2014-06-07,"fruit/vegetable juice,sausage"
1023_2014-05-17,"chicken,frozen meals"
1023_2014-05-22,"curd,male cosmetics"
1023_2014-06-13,"domestic eggs,soda"
1023_2014-12-30,"sausage,specialty bar,whipped/sour cream"
1023_2015-01-06,"packaged fruit/vegetables,rolls/buns,root vegetables,whipped/sour cream"
1023_2015-06-28,"berries,bottled beer,white bread,yogurt"
1024_2015-08-10,"fish,other vegetables,root vegetables,tropical fruit"
1025_2014-02-06,"coffee,shopping bags"
1025_2014-03-10,"cream cheese ,ham"
1025_2015-08-19,"UHT-milk,canned beer"
1026_2014-03-08,"dessert,pickled vegetables,rolls/buns,sausage"
1026_2014-06-18,"long life bakery product,root vegetables"
1026_2014-08-23,"citrus fruit,yogurt"
1026_2015-03-15,"butter,candy,dental care,fruit/vegetable juice,salty snack"
1026_2015-05-28,"canned beer,root vegetables,whipped/sour cream"
1027_2014-05-14,"salt,softener,whole milk"
1027_2014-09-22,"bottled water,rolls/buns"
1027_2015-02-25,"red/blush wine,rolls/buns"
1027_2015-05-17,"hamburger meat,pork"
1028_2014-04-05,"rolls/buns,sugar"
1028_2014-04-24,"baking powder,bottled water,onions,rolls/buns"
1028_2014-11-10,"butter,soda"
1028_2015-06-02,"canned beer,flower (seeds),onions"
1028_2015-07-11,"root vegetables,specialty chocolate"
1029_2015-03-14,"dessert,ham"
1031_2014-03-04,"ice cream,pot plants"
1031_2015-08-26,"beverages,cream cheese "
1031_2015-10-15,"berries,other vegetables"
1032_2014-01-26,"newspapers,whipped/sour cream"
1032_2014-09-23,"pastry,shopping bags,white bread,whole milk"
1032_2015-06-15,"berries,butter,cream cheese ,other vegetables,soda,white bread"
1032_2015-07-13,"ice cream,whipped/sour cream"
1032_2015-08-23,"root vegetables,yogurt"
1033_2014-03-02,"frankfurter,pastry"
1033_2014-04-18,"dessert,fruit/vegetable juice"
1033_2014-04-21,"rolls/buns,sausage,snack products"
1033_2015-04-22,"rolls/buns,soda,tropical fruit"
1033_2015-06-15,"chicken,waffles"
1034_2014-02-24,"cat food,cling film/bags,pip fruit,yogurt"
1034_2014-04-28,"bottled water,domestic eggs,frozen meals"
1034_2014-05-13,"newspapers,tropical fruit"
1035_2014-06-25,"frozen vegetables,whole milk"
1035_2014-08-15,"pip fruit,salt,white bread,white wine"
1035_2015-04-24,"rolls/buns,whole milk,yogurt"
1035_2015-05-23,"frozen vegetables,sausage"
1035_2015-09-08,"newspapers,whole milk"
1036_2014-01-20,"fruit/vegetable juice,vinegar"
1037_2014-02-24,"rolls/buns,tropical fruit,white bread"
1037_2014-06-06,"cake bar,chewing gum,citrus fruit,shopping bags"
1037_2015-12-16,"canned beer,frankfurter,yogurt"
1038_2014-01-28,"margarine,napkins"
1038_2015-02-21,"butter,fruit/vegetable juice,pork,sausage,whole milk"
1038_2015-04-02,"pip fruit,whipped/sour cream,whole milk"
1038_2015-04-10,"other vegetables,specialty chocolate"
1038_2015-04-23,"frozen meals,herbs,pip fruit"
1038_2015-12-14,"Instant food products,butter,cake bar,whipped/sour cream"
1039_2015-05-31,"rolls/buns,salty snack"
1040_2014-06-14,"rolls/buns,yogurt"
1040_2014-09-03,"pasta,rolls/buns,whole milk"
1040_2014-10-24,"root vegetables,white bread"
1040_2015-11-26,"chicken,onions,packaged fruit/vegetables,tropical fruit"
